Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
BAGLEY COMPLEX_2012,2012,NA,NA,BAGLEY COMPLEX,8/18/12,8/22/12,NPS,NA,1000,T,Lightning,0,0,0,0,SHF-2735,NA,NA,Shasta,NA,NA,NA,NA
FORT COMPLEX_2012,2012,NA,NA,FORT COMPLEX,8/5/12,9/10/12,USFS,NA,23653,TB,Lightning,0,0,0,0,KNF-5659,NA,NA,Siskiyou,NA,NA,NA,NA
SOUTH COMPLEX_2012,2012,NA,NA,SOUTH COMPLEX,8/10/12,10/16/12,USFS,NA,453,B,Lightning,0,0,0,0,DVP-11569,NA,NA,Inyo,NA,NA,NA,NA
FOX_2013,2013,NA,NA,FOX,7/3/13,7/7/13,CDF,502,NA,G,Lightning,0,0,0,0,LMU-2700,NA,NA,Modoc,NA,NA,NA,NA
FORKS COMPLEX_2013,2013,NA,NA,FORKS COMPLEX,7/31/13,10/1/13,USFS,NA,37246,TB,Human,0,0,0,0,KNF-5949,NA,NA,Siskiyou,NA,NA,NA,NA
MISSION_2013,2013,NA,NA,MISSION,8/22/13,8/25/13,USFS,NA,4500,BG,Human,0,0,0,0,FHL-2679,NA,NA,Monterey,NA,NA,NA,NA
PIERCE_2014,2014,NA,NA,PIERCE,3/15/14,3/16/14,Local,NA,350,BG,Arson,0,0,0,0,RRU-27677,NA,NA,Riverside,NA,NA,NA,NA
59_2014,2014,NA,NA,59,6/4/14,6/9/14,CDF,402,NA,G,Vehicle,0,0,0,0,TCU-4987,NA,NA,Tuolumne,NA,NA,NA,NA
GUN CLUB_2014,2014,NA,NA,GUN CLUB,6/19/14,6/19/14,CDF,400,NA,G,Debris Burning,0,0,0,0,MMU-10597,NA,NA,Merced,NA,NA,NA,NA
GUN CLUB_2014,2014,NA,NA,GUN CLUB,7/24/14,8/2/14,CDF,422,NA,G,Human,0,0,0,0,MMU-12965,NA,NA,Merced,NA,NA,NA,NA
KELLEY_2014,2014,NA,NA,KELLEY,7/26/14,7/26/14,CDF,1000,NA,GW,Undetermined,0,0,0,0,MMU-13131,NA,NA,Merced,NA,NA,NA,NA
